# Sensor: Blade [Span] [Blade 1]
# Record count: 957
# Storage mode: Memory
# Datetime of save: 2026-03-08T11:04:49
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
Time [s]	Angle of attack [°]	Cd []	Cl []	Cm []	Cl/Cd []	Local wind speed [m/s]	Relative wind speed [m/s]	Reynolds number []	Mach number []	Axial induction factor []	Tangential induction factor []	Axial induced velocity [m/s]	Tangential induced velocity [m/s]	Lift force, distr. [N/m]	Drag force, distr. [N/m]	Pitching moment, distr. [Nm/m]	Thrust force, distr. [N/m]	Torque force, distr. [N/m]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	56.4362 [0 s] 42.4832 [0 s] 26.4849 [0 s] 20.3439 [0 s] 15.7367 [0 s] 12.8259 [0 s] 11.2717 [0 s] 8.06948 [0 s] 1.4768 [0 s] 1.03306 [0 s] 2.17099 [0 s] 1.94194 [0 s] 1.81623 [0 s] 1.75926 [0 s] 1.80901 [0 s] 1.94735 [0 s] 2.13523 [0 s] 2.36963 [0 s] 2.63553 [0 s] 2.91047 [0 s] 3.19303 [0 s] 3.47481 [0 s] 3.75346 [0 s] 4.02362 [0 s] 4.2708 [0 s] 4.49936 [0 s] 4.70375 [0 s] 4.90273 [0 s] 5.06759 [0 s] 5.22506 [0 s] 5.35111 [0 s] 5.46066 [0 s] 5.54118 [0 s] 5.60697 [0 s] 5.64976 [0 s] 5.62548 [0 s] 5.56943 [0 s] 5.43944 [0 s] 5.13753 [0 s] 9.02246 [0 s] 	0.6 [0 s] 0.6 [0 s] 0.351514 [0 s] 0.25455 [0 s] 0.18335 [0 s] 0.14649 [0 s] 0.128622 [0 s] 0.0795043 [0 s] 0.0187538 [0 s] 0.0187317 [0 s] 0.0119762 [0 s] 0.0119268 [0 s] 0.0119199 [0 s] 0.00937593 [0 s] 0.0093809 [0 s] 0.00939473 [0 s] 0.00943381 [0 s] 0.00949241 [0 s] 0.00955888 [0 s] 0.00962762 [0 s] 0.00969826 [0 s] 0.0097687 [0 s] 0.00983836 [0 s] 0.00991181 [0 s] 0.0100354 [0 s] 0.0101497 [0 s] 0.0102519 [0 s] 0.0103514 [0 s] 0.0104338 [0 s] 0.0105125 [0 s] 0.0105756 [0 s] 0.0106303 [0 s] 0.0106706 [0 s] 0.0107035 [0 s] 0.0107249 [0 s] 0.0107127 [0 s] 0.0106847 [0 s] 0.0106197 [0 s] 0.0104688 [0 s] 0.0134225 [0 s] 	0 [0 s] 0 [0 s] 0.777787 [0 s] 0.584703 [0 s] 0.434919 [0 s] 0.307219 [0 s] 0.202488 [0 s] 0.654504 [0 s] 0.699558 [0 s] 0.639046 [0 s] 0.567999 [0 s] 0.541301 [0 s] 0.526103 [0 s] 0.548774 [0 s] 0.555276 [0 s] 0.572459 [0 s] 0.595586 [0 s] 0.624268 [0 s] 0.656716 [0 s] 0.690189 [0 s] 0.72453 [0 s] 0.758547 [0 s] 0.791959 [0 s] 0.824289 [0 s] 0.853671 [0 s] 0.880874 [0 s] 0.905201 [0 s] 0.928846 [0 s] 0.94847 [0 s] 0.967217 [0 s] 0.982247 [0 s] 0.995356 [0 s] 1.0051 [0 s] 1.01315 [0 s] 1.01855 [0 s] 1.01619 [0 s] 1.01021 [0 s] 0.995739 [0 s] 0.961325 [0 s] 1.3966 [0 s] 	0 [0 s] 0 [0 s] -0.219024 [0 s] -0.198473 [0 s] -0.155695 [0 s] -0.125071 [0 s] -0.107317 [0 s] -0.165779 [0 s] -0.16614 [0 s] -0.163618 [0 s] -0.108261 [0 s] -0.107655 [0 s] -0.107208 [0 s] -0.100559 [0 s] -0.100322 [0 s] -0.100249 [0 s] -0.100277 [0 s] -0.100392 [0 s] -0.100578 [0 s] -0.10079 [0 s] -0.100933 [0 s] -0.10108 [0 s] -0.101231 [0 s] -0.101381 [0 s] -0.101517 [0 s] -0.101644 [0 s] -0.101755 [0 s] -0.101866 [0 s] -0.101952 [0 s] -0.102036 [0 s] -0.102097 [0 s] -0.102147 [0 s] -0.102175 [0 s] -0.102193 [0 s] -0.102195 [0 s] -0.102139 [0 s] -0.102057 [0 s] -0.101912 [0 s] -0.101616 [0 s] -0.102498 [0 s] 	0 [0 s] 0 [0 s] 2.06252 [0 s] 2.08147 [0 s] 2.06046 [0 s] 2.09528 [0 s] 1.57429 [0 s] 4.3654 [0 s] 37.3021 [0 s] 34.1158 [0 s] 47.4274 [0 s] 45.3852 [0 s] 44.1366 [0 s] 58.5301 [0 s] 59.1922 [0 s] 60.934 [0 s] 63.1331 [0 s] 65.765 [0 s] 68.7022 [0 s] 71.6885 [0 s] 74.7073 [0 s] 77.6508 [0 s] 80.4971 [0 s] 83.1605 [0 s] 85.066 [0 s] 86.7883 [0 s] 88.2962 [0 s] 89.7318 [0 s] 90.9036 [0 s] 92.0061 [0 s] 92.879 [0 s] 93.6336 [0 s] 94.1931 [0 s] 94.6558 [0 s] 94.9711 [0 s] 94.8578 [0 s] 94.5468 [0 s] 93.7632 [0 s] 91.828 [0 s] 101.456 [0 s] 	6.79876 [0 s] 6.74599 [0 s] 6.69106 [0 s] 6.63401 [0 s] 6.57613 [0 s] 6.51621 [0 s] 6.45698 [0 s] 6.39941 [0 s] 6.3427 [0 s] 6.28725 [0 s] 6.23432 [0 s] 6.18585 [0 s] 6.14287 [0 s] 6.10606 [0 s] 6.07742 [0 s] 6.05697 [0 s] 6.04456 [0 s] 6.02661 [0 s] 6.01392 [0 s] 6.00714 [0 s] 6.0058 [0 s] 6.00916 [0 s] 6.0165 [0 s] 6.02712 [0 s] 6.04035 [0 s] 6.05562 [0 s] 6.07231 [0 s] 6.08966 [0 s] 6.10745 [0 s] 6.12542 [0 s] 6.14333 [0 s] 6.16076 [0 s] 6.17768 [0 s] 6.19403 [0 s] 6.2097 [0 s] 6.22466 [0 s] 6.23894 [0 s] 6.25255 [0 s] 6.26556 [0 s] 6.27911 [0 s] 	6.07608 [0 s] 7.06431 [0 s] 8.26207 [0 s] 9.69268 [0 s] 11.3067 [0 s] 13.0582 [0 s] 14.9116 [0 s] 16.8192 [0 s] 18.894 [0 s] 20.965 [0 s] 23.1483 [0 s] 25.2649 [0 s] 27.3874 [0 s] 29.5007 [0 s] 31.5925 [0 s] 33.6464 [0 s] 35.6601 [0 s] 37.6284 [0 s] 39.5458 [0 s] 41.3982 [0 s] 43.1782 [0 s] 44.8906 [0 s] 46.5313 [0 s] 48.0967 [0 s] 49.5844 [0 s] 50.9947 [0 s] 52.3265 [0 s] 53.5815 [0 s] 54.7596 [0 s] 55.8636 [0 s] 56.8948 [0 s] 57.8564 [0 s] 58.7508 [0 s] 59.5815 [0 s] 60.351 [0 s] 61.0607 [0 s] 61.7135 [0 s] 62.3118 [0 s] 62.849 [0 s] 63.5057 [0 s] 	2.21235e+06 [0 s] 2.57229e+06 [0 s] 3.0086e+06 [0 s] 3.57541e+06 [0 s] 4.31621e+06 [0 s] 5.18799e+06 [0 s] 6.1262e+06 [0 s] 7.03507e+06 [0 s] 7.92844e+06 [0 s] 8.71227e+06 [0 s] 9.43152e+06 [0 s] 1.00032e+07 [0 s] 1.04728e+07 [0 s] 1.08217e+07 [0 s] 1.10972e+07 [0 s] 1.12493e+07 [0 s] 1.13433e+07 [0 s] 1.13582e+07 [0 s] 1.12946e+07 [0 s] 1.12073e+07 [0 s] 1.10755e+07 [0 s] 1.09071e+07 [0 s] 1.07074e+07 [0 s] 1.04816e+07 [0 s] 1.02689e+07 [0 s] 1.00433e+07 [0 s] 9.84521e+06 [0 s] 9.60991e+06 [0 s] 9.41353e+06 [0 s] 9.18741e+06 [0 s] 8.97196e+06 [0 s] 8.73201e+06 [0 s] 8.46939e+06 [0 s] 8.14556e+06 [0 s] 7.76062e+06 [0 s] 7.35597e+06 [0 s] 6.80811e+06 [0 s] 6.07283e+06 [0 s] 5.01925e+06 [0 s] 2.57882e+06 [0 s] 	0.0177141 [0 s] 0.0205962 [0 s] 0.0240896 [0 s] 0.0282604 [0 s] 0.0329664 [0 s] 0.0380723 [0 s] 0.0434761 [0 s] 0.0490375 [0 s] 0.0550864 [0 s] 0.0611239 [0 s] 0.0674891 [0 s] 0.0736598 [0 s] 0.0798476 [0 s] 0.0860088 [0 s] 0.0921072 [0 s] 0.098095 [0 s] 0.103966 [0 s] 0.109705 [0 s] 0.115294 [0 s] 0.120695 [0 s] 0.125884 [0 s] 0.130877 [0 s] 0.13566 [0 s] 0.140224 [0 s] 0.144561 [0 s] 0.148673 [0 s] 0.152556 [0 s] 0.156215 [0 s] 0.159649 [0 s] 0.162868 [0 s] 0.165874 [0 s] 0.168678 [0 s] 0.171286 [0 s] 0.173707 [0 s] 0.175951 [0 s] 0.17802 [0 s] 0.179923 [0 s] 0.181667 [0 s] 0.183234 [0 s] 0.185148 [0 s] 	0.118946 [0 s] 0.0706317 [0 s] 0.117475 [0 s] 0.09588 [0 s] 0.0812748 [0 s] 0.0760177 [0 s] 0.0744507 [0 s] 0.151553 [0 s] 0.38206 [0 s] 0.389821 [0 s] 0.320603 [0 s] 0.321629 [0 s] 0.321778 [0 s] 0.324711 [0 s] 0.328368 [0 s] 0.332889 [0 s] 0.338868 [0 s] 0.345062 [0 s] 0.350207 [0 s] 0.355497 [0 s] 0.359593 [0 s] 0.362116 [0 s] 0.362789 [0 s] 0.361939 [0 s] 0.361197 [0 s] 0.359658 [0 s] 0.359697 [0 s] 0.359066 [0 s] 0.360979 [0 s] 0.363418 [0 s] 0.368018 [0 s] 0.374157 [0 s] 0.382132 [0 s] 0.391315 [0 s] 0.402734 [0 s] 0.419596 [0 s] 0.439961 [0 s] 0.468151 [0 s] 0.520187 [0 s] 0 [0 s] 	-0.126956 [0 s] -0.0752449 [0 s] 0.0664014 [0 s] 0.0283268 [0 s] 0.012337 [0 s] 0.00613052 [0 s] 0.00222343 [0 s] 0.0125207 [0 s] 0.0387717 [0 s] 0.0310867 [0 s] 0.0239174 [0 s] 0.0198851 [0 s] 0.0167629 [0 s] 0.0146382 [0 s] 0.012759 [0 s] 0.0112622 [0 s] 0.0100617 [0 s] 0.00907464 [0 s] 0.00824404 [0 s] 0.00754855 [0 s] 0.00695302 [0 s] 0.00643693 [0 s] 0.00598424 [0 s] 0.00558738 [0 s] 0.00524513 [0 s] 0.00494465 [0 s] 0.00468963 [0 s] 0.00446394 [0 s] 0.00427574 [0 s] 0.00411215 [0 s] 0.00397487 [0 s] 0.00385773 [0 s] 0.00375761 [0 s] 0.00366967 [0 s] 0.00359286 [0 s] 0.00352542 [0 s] 0.00345641 [0 s] 0.00337376 [0 s] 0.0032173 [0 s] 0 [0 s] 	0.97577 [0 s] 0.631705 [0 s] 1.02476 [0 s] 0.811808 [0 s] 0.674361 [0 s] 0.625819 [0 s] 0.609763 [0 s] 1.25931 [0 s] 3.21765 [0 s] 3.26743 [0 s] 2.69374 [0 s] 2.69464 [0 s] 2.69036 [0 s] 2.71168 [0 s] 2.73852 [0 s] 2.77324 [0 s] 2.82044 [0 s] 2.86951 [0 s] 2.91023 [0 s] 2.952 [0 s] 2.98412 [0 s] 3.00291 [0 s] 3.00699 [0 s] 2.99875 [0 s] 2.99129 [0 s] 2.97756 [0 s] 2.97674 [0 s] 2.97033 [0 s] 2.98481 [0 s] 3.00356 [0 s] 3.04004 [0 s] 3.08912 [0 s] 3.15324 [0 s] 3.22762 [0 s] 3.32071 [0 s] 3.45856 [0 s] 3.62512 [0 s] 3.8558 [0 s] 4.28185 [0 s] 0 [0 s] 	-0.255944 [0 s] -0.294883 [0 s] 0.391066 [0 s] 0.224404 [0 s] 0.123496 [0 s] 0.0744683 [0 s] 0.0318498 [0 s] 0.20702 [0 s] 0.727611 [0 s] 0.653201 [0 s] 0.556355 [0 s] 0.507159 [0 s] 0.464856 [0 s] 0.438161 [0 s] 0.409556 [0 s] 0.385427 [0 s] 0.3652 [0 s] 0.34766 [0 s] 0.331926 [0 s] 0.318132 [0 s] 0.305612 [0 s] 0.29408 [0 s] 0.283294 [0 s] 0.273297 [0 s] 0.264383 [0 s] 0.256215 [0 s] 0.249242 [0 s] 0.242835 [0 s] 0.237619 [0 s] 0.23305 [0 s] 0.229354 [0 s] 0.22629 [0 s] 0.223766 [0 s] 0.221568 [0 s] 0.219689 [0 s] 0.218073 [0 s] 0.216077 [0 s] 0.21296 [0 s] 0.204887 [0 s] 0 [0 s] 	0 [0 s] 0 [0 s] 194.059 [0 s] 203.227 [0 s] 215.129 [0 s] 211.954 [0 s] 188.521 [0 s] 761.657 [0 s] 1046.51 [0 s] 1158.99 [0 s] 1221.23 [0 s] 1340.12 [0 s] 1471.84 [0 s] 1702.85 [0 s] 1886.63 [0 s] 2095.34 [0 s] 2324.98 [0 s] 2569.22 [0 s] 2817.81 [0 s] 3069.43 [0 s] 3314.86 [0 s] 3546.34 [0 s] 3760.44 [0 s] 3952.88 [0 s] 4126.76 [0 s] 4274.26 [0 s] 4409.7 [0 s] 4514.83 [0 s] 4608.01 [0 s] 4671.98 [0 s] 4712.83 [0 s] 4720.99 [0 s] 4690.25 [0 s] 4606.8 [0 s] 4465.49 [0 s] 4269.05 [0 s] 3967.05 [0 s] 3519.44 [0 s] 2830.83 [0 s] 0 [0 s] 	72.994 [0 s] 98.6687 [0 s] 88.7978 [0 s] 90.3097 [0 s] 90.9571 [0 s] 100.208 [0 s] 117.548 [0 s] 94.9904 [0 s] 26.4038 [0 s] 31.7714 [0 s] 24.6667 [0 s] 28.3558 [0 s] 32.0034 [0 s] 28.082 [0 s] 30.806 [0 s] 33.3195 [0 s] 35.7319 [0 s] 37.9293 [0 s] 39.8563 [0 s] 41.6501 [0 s] 43.2078 [0 s] 44.4953 [0 s] 45.8083 [0 s] 46.8916 [0 s] 47.8729 [0 s] 48.6285 [0 s] 49.3396 [0 s] 49.7318 [0 s] 50.1266 [0 s] 50.2339 [0 s] 50.2148 [0 s] 49.9136 [0 s] 49.3101 [0 s] 48.2108 [0 s] 46.5903 [0 s] 44.6067 [0 s] 41.5994 [0 s] 37.2253 [0 s] 30.5842 [0 s] 0 [0 s] 	0 [0 s] 0 [0 s] -362.751 [0 s] -415.44 [0 s] -456.577 [0 s] -517.637 [0 s] -606.579 [0 s] -1264.47 [0 s] -1652.6 [0 s] -1921.25 [0 s] -1510.57 [0 s] -1667.43 [0 s] -1799.33 [0 s] -1801.81 [0 s] -1877.77 [0 s] -1917.83 [0 s] -1940.41 [0 s] -1937.9 [0 s] -1910.4 [0 s] -1876.92 [0 s] -1830.43 [0 s] -1773.01 [0 s] -1706.97 [0 s] -1634.44 [0 s] -1566.61 [0 s] -1496.39 [0 s] -1435.34 [0 s] -1365.36 [0 s] -1307.98 [0 s] -1244.07 [0 s] -1184.62 [0 s] -1120.48 [0 s] -1052.52 [0 s] -972.173 [0 s] -881.163 [0 s] -790.175 [0 s] -675.516 [0 s] -536.137 [0 s] -364.816 [0 s] 0 [0 s] 	70.3298 [0 s] 86.8475 [0 s] 202.88 [0 s] 217.892 [0 s] 231.71 [0 s] 234.696 [0 s] 219.548 [0 s] 757.088 [0 s] 1037.31 [0 s] 1152.3 [0 s] 1211.45 [0 s] 1331.9 [0 s] 1464.76 [0 s] 1695.33 [0 s] 1879.81 [0 s] 2089.03 [0 s] 2319.07 [0 s] 2563.63 [0 s] 2812.45 [0 s] 3064.25 [0 s] 3309.8 [0 s] 3541.33 [0 s] 3755.44 [0 s] 3947.84 [0 s] 4122.2 [0 s] 4269.69 [0 s] 4405.17 [0 s] 4510.33 [0 s] 4603.62 [0 s] 4667.72 [0 s] 4708.76 [0 s] 4717.17 [0 s] 4686.74 [0 s] 4603.64 [0 s] 4462.73 [0 s] 4266.8 [0 s] 3965.34 [0 s] 3518.33 [0 s] 2830.41 [0 s] 0 [0 s] 	-27.2148 [0 s] -66.9788 [0 s] 63.5624 [0 s] 44.355 [0 s] 28.1551 [0 s] -0.718223 [0 s] -41.372 [0 s] 131.031 [0 s] 141.11 [0 s] 128.814 [0 s] 156.235 [0 s] 150.896 [0 s] 147.544 [0 s] 162.226 [0 s] 163.229 [0 s] 166.055 [0 s] 168.593 [0 s] 171.501 [0 s] 175.063 [0 s] 178.563 [0 s] 182.388 [0 s] 186.541 [0 s] 191.187 [0 s] 196.048 [0 s] 200.01 [0 s] 203.639 [0 s] 205.968 [0 s] 207.728 [0 s] 207.472 [0 s] 205.879 [0 s] 202.087 [0 s] 196.228 [0 s] 187.929 [0 s] 177.238 [0 s] 163.594 [0 s] 145.585 [0 s] 123.646 [0 s] 95.8693 [0 s] 57.1207 [0 s] 0 [0 s] 
