alpha,cl_stdy,cd_stdy,cm_stdy,cl_sep,cl_lin,cl_stall
-180.000000,0.000000,0.000000,0.000000,0.000000,-29.272593,0.000000
-175.000000,0.173600,0.009900,0.021800,0.000000,-28.445429,0.173600
-170.000000,0.342000,0.039200,0.043400,0.000000,-27.618266,0.342000
-165.000000,0.500000,0.087100,0.064700,0.000000,-26.791102,0.500000
-160.000000,0.642800,0.152100,0.085500,0.000000,-25.963938,0.642800
-155.000000,0.766000,0.232200,0.105700,0.000000,-25.136775,0.766000
-150.000000,0.866000,0.325000,0.125000,0.000000,-24.309611,0.866000
-145.000000,0.939700,0.427700,0.143400,0.000000,-23.482447,0.939700
-140.000000,0.984800,0.537100,0.160700,0.000000,-22.655284,0.984800
-135.000000,1.000000,0.650000,0.176800,0.000000,-21.828120,1.000000
-130.000000,0.984800,0.762900,0.191500,0.000000,-21.000956,0.984800
-125.000000,0.939700,0.872300,0.204800,0.000000,-20.173792,0.939700
-120.000000,0.866000,0.975000,0.216500,0.000000,-19.346629,0.866000
-115.000000,0.766000,1.067800,0.226600,0.000000,-18.519465,0.766000
-110.000000,0.642800,1.147900,0.234900,0.000000,-17.692301,0.642800
-105.000000,0.500000,1.212900,0.241500,0.000000,-16.865138,0.500000
-100.000000,0.342000,1.260800,0.246200,0.000000,-16.037974,0.342000
-95.000000,0.173600,1.290100,0.249000,0.000000,-15.210810,0.173600
-90.000000,0.000000,1.300000,0.250000,0.000000,-14.383647,0.000000
-85.000000,-0.173600,1.290100,0.249000,0.000000,-13.556483,-0.173600
-80.000000,-0.342000,1.260800,0.246200,0.000000,-12.729319,-0.342000
-75.000000,-0.500000,1.212900,0.241500,0.000000,-11.902155,-0.500000
-70.000000,-0.642800,1.147900,0.234900,0.000000,-11.074992,-0.642800
-65.000000,-0.766000,1.067800,0.226600,0.000000,-10.247828,-0.766000
-60.000000,-0.866000,0.975000,0.216500,0.000000,-9.420664,-0.866000
-55.000000,-0.939700,0.872300,0.204800,0.000000,-8.593501,-0.939700
-50.000000,-0.984800,0.762900,0.191500,0.000000,-7.766337,-0.984800
-45.000000,-1.000000,0.650000,0.176800,0.000000,-6.939173,-1.000000
-40.000000,-0.971600,0.535200,0.141600,0.000000,-6.112010,-0.971600
-39.000000,-0.963900,0.513600,0.134600,0.000000,-5.946577,-0.963900
-38.000000,-0.946200,0.485100,0.127600,0.000000,-5.781144,-0.946200
-37.000000,-0.928500,0.463500,0.120500,0.000000,-5.615711,-0.928500
-36.000000,-0.910800,0.434900,0.113500,0.000000,-5.450279,-0.910800
-35.000000,-0.893100,0.406400,0.096500,0.000000,-5.284846,-0.893100
-34.000000,-0.885400,0.377800,0.079400,0.000000,-5.119413,-0.885400
-33.000000,-0.867700,0.352300,0.062400,0.000000,-4.953980,-0.867700
-32.000000,-0.856400,0.331500,0.044700,0.000000,-4.788548,-0.856400
-30.000000,-0.837800,0.277700,0.032700,0.000000,-4.457682,-0.837800
-28.000000,-0.819100,0.233800,0.020800,0.000000,-4.126817,-0.819100
-26.000000,-0.792400,0.204500,0.010200,0.000000,-3.795951,-0.792400
-24.000000,-0.775600,0.175100,-0.000400,0.000000,-3.465086,-0.775600
-22.000000,-0.744100,0.151300,-0.008900,0.000000,-3.134220,-0.744100
-20.000000,-0.712600,0.127400,-0.017400,0.000000,-2.803355,-0.712600
-18.000000,-0.667800,0.108500,-0.022900,0.001553,-2.472489,-0.664993
-16.000000,-0.623100,0.089600,-0.028500,0.006208,-2.141624,-0.613614
-14.000000,-0.574200,0.074800,-0.030000,0.015937,-1.810758,-0.554174
-12.000000,-0.525200,0.060000,-0.031400,0.036655,-1.479893,-0.488875
-10.000000,-0.482700,0.048500,-0.027900,0.087790,-1.149027,-0.418573
-8.000000,-0.440200,0.037000,-0.024400,0.218106,-0.818162,-0.334769
-6.000000,-0.298300,0.029400,-0.035900,0.319004,-0.487296,-0.209767
-4.000000,-0.156400,0.021900,-0.047400,1.000000,-0.156400,-0.078200
-2.000000,0.174400,0.020300,-0.078200,1.000000,0.174400,0.087200
0.000000,0.505300,0.018700,-0.109000,1.000000,0.505300,0.252650
2.000000,0.824100,0.018800,-0.132900,1.000000,0.824100,0.412050
4.000000,1.120900,0.019600,-0.151000,1.000000,1.120900,0.560450
6.000000,1.389700,0.021300,-0.162980,0.858243,1.497896,0.748948
8.000000,1.625400,0.024000,-0.169080,0.784149,1.828762,0.886623
10.000000,1.810900,0.027900,-0.168320,0.691258,2.159627,1.030116
12.000000,1.858900,0.036500,-0.158480,0.529820,2.490493,1.147194
14.000000,1.815900,0.076000,-0.155760,0.365452,2.821358,1.236831
16.000000,1.778600,0.116500,-0.166960,0.252319,3.152224,1.315045
18.000000,1.756000,0.157100,-0.180940,0.176459,3.483089,1.385938
20.000000,1.763000,0.206300,-0.195980,0.129441,3.813955,1.458049
22.000000,1.800200,0.305700,-0.214280,0.101167,4.144820,1.536305
24.000000,1.849500,0.415300,-0.236480,0.081604,4.475686,1.616151
26.000000,1.877500,0.516300,-0.258820,0.062490,4.806551,1.682263
28.000000,1.882800,0.606900,-0.279660,0.044422,5.137417,1.731504
30.000000,1.868900,0.689200,-0.298300,0.028637,5.468282,1.762787
32.000000,1.843900,0.762500,-0.314660,0.016323,5.799148,1.778269
33.000000,1.834900,0.795400,-0.316600,0.011945,5.964580,1.784975
34.000000,1.829700,0.823200,-0.310600,0.008588,6.130013,1.792450
35.000000,1.813600,0.844600,-0.304700,0.005397,6.295446,1.789280
36.000000,1.785400,0.868400,-0.298700,0.002638,6.460879,1.773034
37.000000,1.766900,0.891200,-0.292600,0.001073,6.626311,1.761679
38.000000,1.726900,0.906600,-0.286500,0.000072,6.791744,1.726535
39.000000,1.686400,0.925500,-0.284400,0.000000,6.957177,1.686400
40.000000,1.645800,0.938500,-0.280300,0.000000,7.122610,1.645800
45.000000,1.447300,1.029000,-0.263300,0.000000,7.949773,1.447300
50.000000,1.135600,1.071500,-0.254370,0.000000,8.776937,1.135600
55.000000,0.980800,1.085700,-0.245430,0.000000,9.604101,0.980800
60.000000,0.866000,1.100000,-0.236500,0.000000,10.431264,0.866000
65.000000,0.766000,1.127800,-0.236600,0.000000,11.258428,0.766000
70.000000,0.642800,1.162900,-0.238900,0.000000,12.085592,0.642800
75.000000,0.500000,1.212900,-0.241500,0.000000,12.912755,0.500000
80.000000,0.342000,1.260800,-0.246200,0.000000,13.739919,0.342000
85.000000,0.173600,1.290100,-0.249000,0.000000,14.567083,0.173600
90.000000,0.000000,1.300000,-0.250000,0.000000,15.394247,0.000000
95.000000,-0.173600,1.290100,-0.249000,0.000000,16.221410,-0.173600
100.000000,-0.342000,1.260800,-0.246200,0.000000,17.048574,-0.342000
105.000000,-0.500000,1.212900,-0.241500,0.000000,17.875738,-0.500000
110.000000,-0.642800,1.147900,-0.234900,0.000000,18.702901,-0.642800
115.000000,-0.766000,1.067800,-0.226600,0.000000,19.530065,-0.766000
120.000000,-0.866000,0.975000,-0.216500,0.000000,20.357229,-0.866000
125.000000,-0.939700,0.872300,-0.204800,0.000000,21.184392,-0.939700
130.000000,-0.984800,0.762900,-0.191500,0.000000,22.011556,-0.984800
135.000000,-1.000000,0.650000,-0.176800,0.000000,22.838720,-1.000000
140.000000,-0.984800,0.537100,-0.160700,0.000000,23.665884,-0.984800
145.000000,-0.939700,0.427700,-0.143400,0.000000,24.493047,-0.939700
