alpha,cl_stdy,cd_stdy,cm_stdy,cl_sep,cl_lin,cl_stall
-180.000000,0.000000,0.000000,0.000000,0.000000,-15.792814,0.000000
-175.000000,0.174000,0.010000,0.022000,0.000000,-15.373653,0.174000
-170.000000,0.342000,0.039000,0.043000,0.000000,-14.954491,0.342000
-165.000000,0.500000,0.087000,0.065000,0.000000,-14.535329,0.500000
-160.000000,0.643000,0.152000,0.086000,0.000000,-14.116168,0.643000
-155.000000,0.766000,0.232000,0.106000,0.000000,-13.697006,0.766000
-150.000000,0.866000,0.325000,0.125000,0.000000,-13.277844,0.866000
-145.000000,0.940000,0.428000,0.143000,0.000000,-12.858683,0.940000
-140.000000,0.985000,0.537000,0.161000,0.000000,-12.439521,0.985000
-135.000000,1.000000,0.650000,0.177000,0.000000,-12.020359,1.000000
-130.000000,0.985000,0.763000,0.192000,0.000000,-11.601198,0.985000
-125.000000,0.940000,0.872000,0.205000,0.000000,-11.182036,0.940000
-120.000000,0.866000,0.975000,0.216000,0.000000,-10.762874,0.866000
-115.000000,0.766000,1.068000,0.227000,0.000000,-10.343713,0.766000
-110.000000,0.643000,1.148000,0.235000,0.000000,-9.924551,0.643000
-105.000000,0.500000,1.213000,0.241000,0.000000,-9.505389,0.500000
-100.000000,0.342000,1.261000,0.246000,0.000000,-9.086228,0.342000
-95.000000,0.174000,1.290000,0.249000,0.000000,-8.667066,0.174000
-90.000000,0.000000,1.300000,0.250000,0.000000,-8.247904,0.000000
-85.000000,-0.174000,1.290000,0.249000,0.000000,-7.828743,-0.174000
-80.000000,-0.342000,1.261000,0.246000,0.000000,-7.409581,-0.342000
-75.000000,-0.500000,1.213000,0.241000,0.000000,-6.990419,-0.500000
-70.000000,-0.643000,1.148000,0.235000,0.000000,-6.571257,-0.643000
-65.000000,-0.766000,1.068000,0.227000,0.000000,-6.152096,-0.766000
-60.000000,-0.866000,0.975000,0.216000,0.000000,-5.732934,-0.866000
-55.000000,-0.940000,0.872000,0.205000,0.000000,-5.313772,-0.940000
-50.000000,-0.985000,0.763000,0.192000,0.000000,-4.894611,-0.985000
-45.000000,-1.000000,0.650000,0.177000,0.000000,-4.475449,-1.000000
-40.000000,-0.962000,0.542000,0.142000,0.000000,-4.056287,-0.962000
-39.000000,-0.864000,0.521000,0.135000,0.000000,-3.972455,-0.864000
-38.000000,-0.776000,0.499000,0.128000,0.000000,-3.888623,-0.776000
