span_position_r,chord_length_c,twist_angle_beta_deg,thickness_ratio,twist_angle_beta_rad,a_updated,a_prime_updated,pitch_angle_theta_deg,pitch_angle_theta_rad,CONVERGED,a_previous,a_prime_previous,flow_angle_phi_rad,flow_angle_phi_deg,angle_of_attack_rad_alpha,angle_of_attack_deg_alpha,local_solidity_sigma,lift_coefficient_Cl,drag_coefficient_Cd,normal_coefficient_Cn,tangential_coefficient_Ct,thrust_coefficient_CT,pretzl_factor_F,difference_a,difference_a_prime,p_t_torque,p_n_thrust
2.8,5.38,14.5,100.0,0.2530727415391778,0.12427761365431397,-0.12427761364653556,0,0.0,False,0.12427761365508935,-0.12427761364630818,1.3239361983410485,75.85595650953714,1.0708634568018707,61.35595650953714,0.9174145648225682,-1.1102230246251565e-16,0.6,0.5818106765619402,-0.1466162904950792,0.43533075356998224,1.0,7.753797603982093e-13,2.2737367544323206e-13,-25.21869454420548,100.07418469822454
11.0027,5.4525,14.432,86.0491,0.25188591764782164,0.0667121967908646,-0.020411979109210977,0,0.0,False,0.06671219679596493,-0.02041197911352796,0.7660961788797347,43.89407775090815,0.514210261231913,29.462077750908154,0.23661255706560003,0.2965724245325492,0.5295707352139619,0.5808827175563676,-0.1759989631574574,0.24904668466676969,0.9999998654015085,5.1003368195523535e-12,4.316984270058555e-12,-68.16263499635379,224.97005631255652
16.871,5.866,12.546,61.097,0.21896900795520857,0.07819531813795107,0.005201401757512773,0,0.0,False,0.07819531814134126,0.005201401754744576,0.5433203834476077,31.129964894977473,0.3243513754923991,18.583964894977473,0.16601319948617,0.49612908605896433,0.23518295868830152,0.5462700623943126,0.0551734811553552,0.2883225100571692,0.9999974637275634,3.390190905783186e-12,2.7681962624925838e-12,40.335462634618914,399.3595333974697
22.9641,6.1845,8.8925,43.0356,0.15520340373359576,0.26690598479423955,0.034950820046684004,0,0.0,False,0.2669059820027386,0.03495081981641901,0.3301806878991385,18.91795989334689,0.17497728416554276,10.02545989334689,0.12858684802171566,1.2306419941868114,0.08118356145731412,1.1904882063959672,0.3221929840004256,0.7826679934755618,0.9999989734133801,2.791500974819172e-09,2.3026499457179384e-10,399.3582548149606,1475.610320811511
32.3076,6.02,6.3822,32.4151,0.1113904035207821,0.3578433076695311,0.02531804215744555,0,0.0,False,0.3578433076692703,0.025318042156649213,0.21215348240241333,12.155499150661266,0.10076307888163123,5.7732991506612645,0.08896786738227629,1.1616372984103587,0.016442805746521797,1.1390553685400788,0.22852668622933295,0.94250844452643,0.9999977137273842,2.6079138848444927e-13,7.963352199880092e-13,501.56441292309984,2499.969026091703
41.573,5.4219,4.6736,27.8103,0.08156970792120699,0.3329212584339282,0.014572863005235017,0,0.0,False,0.33334068685046564,0.014573340568841079,0.17384429910895446,9.960544631352988,0.09227459118774747,5.286944631352989,0.06227038120534582,0.9777203306724499,0.012164550486781221,0.9650873500686858,0.15713506303875074,0.8927186691941772,0.9999689330288922,0.00041942841653741514,4.775636060615901e-07,496.1090438320413,3046.987433599726
50.4111,4.6982,2.8866,25.318,0.05038067418806832,0.34572626051672417,0.010185843932540493,0,0.0,False,0.3457262605164143,0.010185843932073925,0.14179637306298712,8.124333726771676,0.0914156988749188,5.237733726771675,0.04449863742118359,0.9745273909680381,0.011050627261247224,0.9663084614605209,0.1267821336767899,0.9216453892207844,0.999817989509131,3.098632461728812e-13,4.665677566517701e-13,500.46877170568035,3814.4744434482336
58.5344,3.9987,1.2072,24.2644,0.021069614730075546,0.36213650135071124,0.007734703042843868,0,0.0,False,0.36213650135036485,0.007734703042483035,0.11957790689894339,6.851309388317746,0.09850829216886785,5.644109388317746,0.03261737735117616,1.0235494672941896,0.010794274638048468,1.017528062376989,0.11138523528058517,0.9488990286423781,0.9991165799914744,3.4638958368304884e-13,3.6083289134403174e-13,499.1798944154589,4560.115615526698
65.7501,3.3981,-0.1304,24.1007,-0.0022759093446006054,0.36860048614152024,0.006155920007299128,0,0.0,False,0.36860048614113844,0.0061559200070060134,0.10565252388204041,6.053443713346052,0.10792843322664102,6.183843713346052,0.024676361501529406,1.0863554658932195,0.011038193882035195,1.0814619509922898,0.10358614075348907,0.9566600425766378,0.9959829734478726,3.8180569816859133e-13,2.931144910123251e-13,494.6398958737988,5164.148629721814
71.9675,2.913,-1.1139,24.1,-0.019441222537964833,0.36581694244859814,0.005081410118038067,0,0.0,False,0.36581694244823915,0.005081410117788489,0.09711051546726233,5.564022682614033,0.11655173800522717,6.677922682614033,0.019326154829333704,1.1421374708671244,0.011408442011960524,1.1378624045790169,0.09938462231929501,0.9408005927078242,0.9842132890126507,3.5899061501254437e-13,2.495781359357352e-13,485.52111598747774,5558.769673003452
77.186,2.5359,-1.862,24.1,-0.032498030672134415,0.3657959971386749,0.004391039088217358,0,0.0,False,0.3657959971383716,0.004391039087997965,0.09064697268447769,5.19368896045823,0.1231450033566121,7.055688960458229,0.01568682222890436,1.1847872836357343,0.011691766720343671,1.1809813645161809,0.09560659778218447,0.9093251610081109,0.9513201799269914,3.0331293032759277e-13,2.1939308009200076e-13,466.4952684397551,5762.387026023679
78.7133,2.4308,-2.0776,24.1,-0.03626096053943419,0.36868067774552293,0.0042332094745956336,0,0.0,False,0.3686806777452428,0.0042332094743851995,0.0885090600647445,5.0711955903797605,0.12477002060417869,7.148795590379761,0.014744922484552645,1.195299022153875,0.01176159669278482,1.1916598281731967,0.0939411594403714,0.896296832206171,0.933009393078492,2.80109269112927e-13,2.1043410070031854e-13,456.61300774874724,5792.214845941946
80.1402,2.3314,-2.2801,24.1,-0.039795252274722706,0.37332380743633525,0.0041051488929955224,0,0.0,False,0.3733238074360764,0.004105148892791717,0.08631586592226073,4.945534822362627,0.12611111819698345,7.225634822362628,0.013890176253282802,1.2039741714447407,0.011819226116771971,1.200510813926825,0.092017852924319,0.881166118486666,0.9099945186840978,2.5884849819135525e-13,2.0380572229861116e-13,444.3845092871805,5797.661996956163
82.7085,2.1291,-2.6441,24.1,-0.04614825075198207,0.3868583833893267,0.003916874280257531,0,0.0,False,0.3868583833891111,0.003916874280067358,0.08186507582956448,4.690523334552491,0.12801332658154654,7.334623334552491,0.012291002351763882,1.2162789744709763,0.011900967500914367,1.2131787515830774,0.08759847872511053,0.8383140871244824,0.8464970729208708,2.156053113822054e-13,1.9017253050090943e-13,411.02984592125694,5692.480995051731
84.9252,1.9033,-2.9451,24.1,-0.051401691800485,0.4076682858642528,0.003806879952097458,0,0.0,False,0.4076682858640754,0.00380687995191923,0.07705043629430726,4.414664809305425,0.12845212809479226,7.359764809305425,0.010700696725593971,1.2191174469705826,0.011919823606979067,1.2164179463031732,0.08195615665990567,0.7707867623972657,0.7532857736693084,1.7741363933510002e-13,1.7822809200707113e-13,362.08811624392894,5374.220811378048
86.8265,1.626,-3.1773,24.1,-0.05545434632361583,0.443198297420884,0.0037826306954508093,0,0.0,False,0.44319829742074035,0.0037826306952841717,0.07086604770582915,4.06032544431676,0.12632039402944498,7.23762544431676,0.008941484597470422,1.2053279126633623,0.011828219083237569,1.2031401203873446,0.07354681860165643,0.6652389307745027,0.617697788000299,1.4366285938649526e-13,1.666375371023321e-13,289.88271116242277,4742.142850463312
88.4487,1.1836,-3.3575,24.1,-0.05859942963570961,0.5264649377912939,0.0038961368963253374,0,0.0,False,0.5264649377911871,0.003896136896175121,0.059186391746578804,3.3911304516868945,0.11778582138228841,6.748630451686894,0.00638932366366834,1.1501203779954503,0.01146147283876517,1.1487844807199754,0.05659033572057689,0.4703933538731085,0.3944432996662523,1.0680345496894006e-13,1.5021664467873563e-13,168.26780218485897,3415.8383634493516
89.166,0.6,-3.428,24.1,-0.05982988675836562,0.0,0.0,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0032128714708006597,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
