alpha,cl_stdy,cd_stdy,cm_stdy,cl_sep,cl_lin,cl_stall
-180.000000,0.000000,0.000000,0.000000,0.000000,-8.634394,0.000000
-175.000000,0.174000,0.010000,0.022000,0.000000,-8.374249,0.174000
-170.000000,0.342000,0.039000,0.043000,0.000000,-8.114104,0.342000
-165.000000,0.500000,0.087000,0.065000,0.000000,-7.853959,0.500000
-160.000000,0.643000,0.152000,0.086000,0.000000,-7.593814,0.643000
-155.000000,0.766000,0.232000,0.106000,0.000000,-7.333669,0.766000
-150.000000,0.866000,0.325000,0.125000,0.000000,-7.073524,0.866000
-145.000000,0.940000,0.428000,0.143000,0.000000,-6.813379,0.940000
-140.000000,0.985000,0.537000,0.161000,0.000000,-6.553234,0.985000
-135.000000,1.000000,0.650000,0.177000,0.000000,-6.293089,1.000000
-130.000000,0.985000,0.763000,0.192000,0.000000,-6.032944,0.985000
-125.000000,0.940000,0.872000,0.205000,0.000000,-5.772799,0.940000
-120.000000,0.866000,0.975000,0.216000,0.000000,-5.512654,0.866000
-115.000000,0.766000,1.068000,0.227000,0.000000,-5.252509,0.766000
-110.000000,0.643000,1.148000,0.235000,0.000000,-4.992364,0.643000
-105.000000,0.500000,1.213000,0.241000,0.000000,-4.732219,0.500000
-100.000000,0.342000,1.261000,0.246000,0.000000,-4.472074,0.342000
-95.000000,0.174000,1.290000,0.249000,0.000000,-4.211929,0.174000
-90.000000,0.000000,1.300000,0.250000,0.000000,-3.951784,0.000000
-85.000000,-0.174000,1.290000,0.249000,0.000000,-3.691639,-0.174000
-80.000000,-0.342000,1.261000,0.246000,0.000000,-3.431494,-0.342000
-75.000000,-0.500000,1.213000,0.241000,0.000000,-3.171349,-0.500000
-70.000000,-0.643000,1.148000,0.235000,0.000000,-2.911204,-0.643000
-65.000000,-0.766000,1.068000,0.227000,0.000000,-2.651059,-0.766000
-60.000000,-0.866000,0.975000,0.216000,0.041481,-2.390914,-0.800008
-55.000000,-0.940000,0.872000,0.205000,0.107840,-2.130769,-0.796065
-50.000000,-0.985000,0.763000,0.192000,0.203665,-1.870624,-0.758500
-45.000000,-1.000000,0.650000,0.177000,0.331760,-1.610479,-0.696916
-40.000000,-0.982000,0.542000,0.142000,0.497804,-1.350334,-0.616886
-39.000000,-0.954000,0.521000,0.135000,0.510388,-1.298305,-0.595085
-38.000000,-0.926000,0.499000,0.128000,0.524125,-1.246276,-0.573251
-37.000000,-0.888000,0.477000,0.120000,0.525051,-1.194247,-0.549447
-36.000000,-0.831000,0.456000,0.114000,0.498308,-1.142218,-0.521881
-35.000000,-0.773000,0.434000,0.106000,0.467998,-1.090189,-0.493971
-34.000000,-0.725000,0.413000,0.099000,0.450708,-1.038160,-0.468044
-33.000000,-0.658000,0.391000,0.092000,0.401591,-0.986131,-0.437792
-32.000000,-0.611000,0.292000,0.030000,0.381348,-0.934102,-0.411834
-30.000000,-0.561000,0.266000,0.020000,0.415024,-0.830044,-0.370121
-28.000000,-0.511000,0.240000,0.009000,0.459602,-0.725986,-0.328157
-26.000000,-0.449000,0.217000,-0.001000,0.489092,-0.621928,-0.283456
-24.000000,-0.388000,0.194000,-0.011000,0.534585,-0.517870,-0.238829
-22.000000,-0.316000,0.173000,-0.020000,0.559086,-0.413812,-0.191973
-20.000000,-0.244000,0.153000,-0.029000,0.600739,-0.309754,-0.145065
-18.000000,-0.164000,0.135000,-0.037000,0.617521,-0.205696,-0.096681
-16.000000,-0.084000,0.118000,-0.045000,0.669450,-0.101638,-0.048278
-14.000000,0.002000,0.104000,-0.051000,1.000000,0.002000,0.001210
-12.000000,0.088000,0.089000,-0.057000,0.669450,0.106478,0.050577
-10.000000,0.172000,0.077000,-0.060000,0.652411,0.210536,0.099670
-8.000000,0.256000,0.066000,-0.064000,0.646672,0.314594,0.148760
-6.000000,0.318000,0.056000,-0.060000,0.552166,0.418652,0.193899
-4.000000,0.380000,0.047000,-0.057000,0.497396,0.522710,0.238769
-2.000000,0.357000,0.041000,-0.035000,0.259511,0.626768,0.262457
0.000000,0.335000,0.034000,-0.013000,0.125375,0.730826,0.278259
2.000000,0.565000,0.032000,-0.049000,0.416393,0.834884,0.372443
4.000000,0.877000,0.034000,-0.089000,0.870311,0.938942,0.469471
6.000000,1.043000,0.045000,-0.112000,1.000000,1.043000,0.521500
8.000000,0.927000,0.078000,-0.120000,0.636721,1.147058,0.541303
10.000000,0.825000,0.117000,-0.133000,0.389479,1.251116,0.553161
12.000000,0.791000,0.156000,-0.149000,0.278774,1.355174,0.572931
14.000000,0.789000,0.193000,-0.165000,0.221502,1.459232,0.598303
16.000000,0.813000,0.230000,-0.180000,0.195629,1.563290,0.630524
18.000000,0.850000,0.266000,-0.194000,0.183179,1.667348,0.666703
20.000000,0.895000,0.301000,-0.208000,0.177760,1.771406,0.705529
22.000000,0.936000,0.336000,-0.220000,0.170492,1.875464,0.742908
24.000000,0.977000,0.371000,-0.232000,0.164079,1.979522,0.780219
26.000000,1.016000,0.406000,-0.242000,0.157291,2.083580,0.816737
28.000000,1.055000,0.440000,-0.252000,0.151237,2.187638,0.853181
30.000000,1.084000,0.474000,-0.261000,0.141013,2.291696,0.885742
32.000000,1.113000,0.507000,-0.270000,0.131907,2.395754,0.918085
33.000000,1.131000,0.429000,-0.137000,0.129230,2.447783,0.935577
34.000000,1.143000,0.450000,-0.141000,0.124173,2.499812,0.950634
35.000000,1.145000,0.471000,-0.145000,0.115393,2.551841,0.961485
36.000000,1.147000,0.492000,-0.149000,0.107191,2.603870,0.972087
37.000000,1.138000,0.513000,-0.153000,0.095585,2.655899,0.977578
38.000000,1.130000,0.534000,-0.157000,0.085243,2.707928,0.982958
39.000000,1.121000,0.555000,-0.160000,0.075418,2.759957,0.987311
40.000000,1.103000,0.575000,-0.164000,0.063805,2.811986,0.986527
45.000000,1.030000,0.677000,-0.183000,0.024981,3.072131,0.977678
50.000000,0.976000,0.776000,-0.194000,0.006788,3.332276,0.959895
55.000000,0.921000,0.876000,-0.205000,0.000160,3.592421,0.920571
60.000000,0.866000,0.975000,-0.216000,0.000000,3.852566,0.866000
65.000000,0.766000,1.068000,-0.227000,0.000000,4.112711,0.766000
70.000000,0.643000,1.148000,-0.235000,0.000000,4.372856,0.643000
75.000000,0.500000,1.213000,-0.241000,0.000000,4.633001,0.500000
80.000000,0.342000,1.261000,-0.246000,0.000000,4.893146,0.342000
85.000000,0.174000,1.290000,-0.249000,0.000000,5.153291,0.174000
90.000000,0.000000,1.300000,-0.250000,0.000000,5.413436,0.000000
95.000000,-0.174000,1.290000,-0.249000,0.000000,5.673581,-0.174000
100.000000,-0.342000,1.261000,-0.246000,0.000000,5.933726,-0.342000
105.000000,-0.500000,1.213000,-0.241000,0.000000,6.193871,-0.500000
110.000000,-0.643000,1.148000,-0.235000,0.000000,6.454016,-0.643000
115.000000,-0.766000,1.068000,-0.227000,0.000000,6.714161,-0.766000
120.000000,-0.866000,0.975000,-0.216000,0.000000,6.974306,-0.866000
125.000000,-0.940000,0.872000,-0.205000,0.000000,7.234451,-0.940000
130.000000,-0.985000,0.763000,-0.192000,0.000000,7.494596,-0.985000
135.000000,-1.000000,0.650000,-0.177000,0.000000,7.754741,-1.000000
140.000000,-0.985000,0.537000,-0.161000,0.000000,8.014886,-0.985000
145.000000,-0.940000,0.428000,-0.143000,0.000000,8.275031,-0.940000
150.000000,-0.866000,0.325000,-0.125000,0.000000,8.535176,-0.866000
155.000000,-0.766000,0.232000,-0.106000,0.000000,8.795321,-0.766000
160.000000,-0.643000,0.152000,-0.086000,0.000000,9.055466,-0.643000
165.000000,-0.500000,0.087000,-0.065000,0.000000,9.315611,-0.500000
170.000000,-0.342000,0.039000,-0.043000,0.000000,9.575756,-0.342000
175.000000,-0.174000,0.010000,-0.022000,0.000000,9.835901,-0.174000
180.000000,0.000000,0.000000,0.000000,0.000000,10.096046,0.000000
