alpha,cl_stdy,cd_stdy,cm_stdy,cl_sep,cl_lin,cl_stall
-180.000000,0.000000,0.000000,0.000000,0.000000,-22.983143,0.000000
-175.000000,0.173600,0.011400,0.021800,0.000000,-22.335064,0.173600
-170.000000,0.342000,0.045200,0.043400,0.000000,-21.686984,0.342000
-165.000000,0.500000,0.100500,0.064700,0.000000,-21.038904,0.500000
-160.000000,0.642800,0.175500,0.085500,0.000000,-20.390824,0.642800
-155.000000,0.766000,0.267900,0.105700,0.000000,-19.742745,0.766000
-150.000000,0.866000,0.375000,0.125000,0.000000,-19.094665,0.866000
-145.000000,0.939700,0.493500,0.143400,0.000000,-18.446585,0.939700
-140.000000,0.984800,0.619700,0.160700,0.000000,-17.798505,0.984800
-135.000000,1.000000,0.750000,0.176800,0.000000,-17.150426,1.000000
-130.000000,0.984800,0.880300,0.191500,0.000000,-16.502346,0.984800
-125.000000,0.939700,1.006000,0.204800,0.000000,-15.854266,0.939700
-120.000000,0.866000,1.125000,0.216500,0.000000,-15.206186,0.866000
-115.000000,0.766000,1.232000,0.226600,0.000000,-14.558107,0.766000
-110.000000,0.642800,1.325000,0.234900,0.000000,-13.910027,0.642800
-105.000000,0.500000,1.399000,0.241500,0.000000,-13.261947,0.500000
-100.000000,0.342000,1.455000,0.246200,0.000000,-12.613867,0.342000
-95.000000,0.173600,1.489000,0.249000,0.000000,-11.965788,0.173600
-90.000000,0.000000,1.500000,0.250000,0.000000,-11.317708,0.000000
-85.000000,-0.173600,1.489000,0.249000,0.000000,-10.669628,-0.173600
-80.000000,-0.342000,1.455000,0.246200,0.000000,-10.021548,-0.342000
-75.000000,-0.500000,1.399000,0.241500,0.000000,-9.373469,-0.500000
-70.000000,-0.642800,1.325000,0.234900,0.000000,-8.725389,-0.642800
-65.000000,-0.766000,1.232000,0.226600,0.000000,-8.077309,-0.766000
-60.000000,-0.866000,1.125000,0.216500,0.000000,-7.429229,-0.866000
-55.000000,-0.939700,1.006000,0.204800,0.000000,-6.781150,-0.939700
-50.000000,-0.984800,0.860300,0.191500,0.000000,-6.133070,-0.984800
-45.000000,-1.012000,0.712000,0.170800,0.000000,-5.484990,-1.012000
-40.000000,-1.038000,0.547500,0.141600,0.000000,-4.836910,-1.038000
-39.000000,-1.042000,0.516500,0.134600,0.000000,-4.707294,-1.042000
-38.000000,-1.046000,0.481600,0.127600,0.000000,-4.577679,-1.046000
-37.000000,-1.052000,0.448700,0.118500,0.000000,-4.448063,-1.052000
-36.000000,-1.057000,0.417700,0.109500,0.000000,-4.318447,-1.057000
-35.000000,-1.061000,0.384800,0.100500,0.000000,-4.188831,-1.061000
-34.000000,-1.065000,0.355800,0.089400,0.000597,-4.059215,-1.063211
-33.000000,-1.072000,0.328900,0.082400,0.001990,-3.929599,-1.066302
-32.000000,-1.077000,0.303100,0.067800,0.004192,-3.799983,-1.065536
-30.000000,-1.089000,0.256000,0.050800,0.011917,-3.540751,-1.059430
-28.000000,-1.099000,0.209000,0.033700,0.024781,-3.281519,-1.043540
-26.000000,-1.117000,0.175600,0.020600,0.046602,-3.022287,-1.023870
-24.000000,-1.128000,0.142300,0.007500,0.077217,-2.763055,-0.991182
-22.000000,-1.121000,0.118300,-0.000800,0.114400,-2.503823,-0.942370
-20.000000,-1.115000,0.094300,-0.009100,0.167780,-2.244591,-0.887269
-18.000000,-1.092000,0.076500,-0.012300,0.233555,-1.985360,-0.819771
-16.000000,-1.069000,0.058700,-0.015600,0.329383,-1.726128,-0.746242
-14.000000,-1.038000,0.045400,-0.015600,0.465669,-1.466896,-0.664218
-12.000000,-1.007000,0.032100,-0.015500,0.682769,-1.207664,-0.575116
-10.000000,-0.847900,0.023000,-0.031800,0.793941,-0.948432,-0.460553
-8.000000,-0.689200,0.013800,-0.048000,1.000000,-0.689200,-0.344600
-6.000000,-0.427800,0.011800,-0.061100,1.000000,-0.427800,-0.213900
-4.000000,-0.166500,0.009800,-0.074200,1.000000,-0.166500,-0.083250
-2.000000,0.086300,0.009500,-0.081100,1.000000,0.086300,0.043150
